         A1 A2 A3 A4 B1 B2 B3 B4 sum
VVWJ6    18  4  6  5 11 13  4 10  71  
VWCB3    16  2  3  3  2 10  7  8  51  
VWHZ4    16  9  6  5 11 12  6  7  72  
VXDZ7     2  1  0  0  1  0  0  0   4  
VXTY2    16  7  5  5  2 10  6  2  53  
VYJL4    13  2  5  2  2  8  2  2  36  
VZGB6    15  1  0  3  6  3  8  3  39  
VZJC2    13  3  3  4  7  2  7  3  42  
WCLZ9    16  7  5  4  9 20  9  3  73  
WCSZ2    16  6  4  4  7  9  4  3  53  
WDPZ4    16  4  6  4  5  4  2  8  49  
WDRJ8    14  5  6  2 11 13  6 10  67  
WDSZ1    18  3  5  4 11 18 15  4  78  
WDVZ8    18  4  3  5  9  7  8  5  59  
WGDZ3    18  7  6  5 11 10  4  4  65  
WGFJ7    15  6  6  4 11 18  8 11  79  
WHNR0    18  6  6  4 11 10  9  9  73  
WJCJ7    18  5  5  5 11 23 13  9  89  
WKBC4    18 10  6  6 11 23 15 11 100 
WLZJ2    18  7  6  6 11 18 11 10  87  
WMRZ3    14  3  2  2  9  8  4  0  42  
WMVS6    18  6  6  6 11 17  6  8  78  
WNVZ8    17  7  6  6 11 19 10 11  87  
WPMR3    18  5  6  5 11 21 15 10  91  
WQJR5    16  4  5  5 11 17  5  5  68  
WSKR2    17  7  5  5  5 17  7 11  74  
WSKZ4    16  7  6  4 11 18 14 10  86  
WSTH3    16  7  6  5 11 13  3 11  72  
WTMJ7    16  4  5  3 11 15 11  2  67  
WTNR8    13  5  3  3  7  1  6  3  41  
WTQS4    18  7  5  6 11 14 12 11  84  
WTZQ7    10  5  5  3 10  9  8 11  61  
WVKY2    18  4  5  5  8 12  8 10  70  
WVMH7    15  5  6  4  5  9  7  1  52  
WXQJ9    16  3  0  0  8  7  2  3  39  
WXYC8    15  6  4  4  7  0  0  2  38  
WYWH4    17  5  0  3  6  4  7  0  42  
WZKQ6    16  9  3  3 11 16 12 10  80  
XBVY0    14  6  5  4 11  7  7  1  55  
XBQQ3    17  3  4  3  5  4  1  5  42  
XDWP6     0  0  0  0  0  0  0  0   0  
XGXM5    16  2  4  5 11  7  5  1  51  
XJQC9    17  2  6  3 11 10  6  0  55  
XLSF2    12  4  0  3  4  1  2  2  28  
XLSP2    17  5  6  3 11 12  5  8  67  
XLVM2    18 10  6  6 11 19 13 10  93  
XLVN1    18  7  6  4 11 20  7 11  84  
XLVY0    10  8  2  4 11  6  5  5  51  
	 
